build_id,repo_name,branch,commit_sha,duration_seconds,log_line_count,char_density,error_count,warning_count,step_count,unique_templates,template_entropy,suspicious_pattern_count,external_ip_count,external_url_count,base64_pattern_count,event_distribution,build_started_at,build_finished_at,label
build-000199,acme-corp/api-service,main,46ce4e5876e2f64b5ab0805c88c828c1d0f4efa9,77.211928,3038,27.56,98,126,14,282,7.3314,0,0,0,0,"{""unit_tests"": 217, ""install_dependencies"": 217, ""restore_cache"": 217, ""deploy_production"": 217, ""type_check"": 217, ""e2e_tests"": 217, ""save_cache"": 217, ""deploy_staging"": 217, ""setup_environment"": 217, ""setup_node"": 217, ""lint"": 217, ""checkout"": 217, ""build"": 217, ""upload_artifacts"": 217}",2025-12-07T12:50:47.884709,2025-12-07T12:52:05.096637,normal
build-000286,startup-io/mobile-backend,feature/feat-355,6b86e30934e761689109e18829b8fe693ffc0b03,181.105103,3300,27.96,87,143,11,284,7.3158,0,0,0,0,"{""setup_environment"": 300, ""install_dependencies"": 300, ""integration_tests"": 300, ""deploy_production"": 300, ""deploy_staging"": 300, ""e2e_tests"": 300, ""upload_artifacts"": 300, ""build"": 300, ""lint"": 300, ""unit_tests"": 300, ""restore_cache"": 300}",2025-12-09T12:50:58.782116,2025-12-09T12:53:59.887219,normal
build-000215,acme-corp/web-app,develop,e3e1ad94143c545b4c86c6f4f33b189a0b1b8df6,243.505469,550,28.17,19,25,11,185,7.0726,0,0,0,0,"{""unit_tests"": 50, ""save_cache"": 50, ""build"": 50, ""restore_cache"": 50, ""install_dependencies"": 50, ""lint"": 50, ""setup_environment"": 50, ""upload_artifacts"": 50, ""type_check"": 50, ""setup_node"": 50, ""e2e_tests"": 50}",2025-12-05T12:50:50.424562,2025-12-05T12:54:53.930031,normal
build-000143,startup-io/auth-service,develop,c548a3da710b59e84f7b030240ab472ee235b598,307.982002,396,28.36,9,20,11,165,6.9608,0,0,0,0,"{""deploy_production"": 36, ""deploy_staging"": 36, ""integration_tests"": 36, ""lint"": 36, ""setup_node"": 36, ""install_dependencies"": 36, ""type_check"": 36, ""build"": 36, ""upload_artifacts"": 36, ""checkout"": 36, ""e2e_tests"": 36}",2025-12-13T12:50:40.569946,2025-12-13T12:55:48.551948,normal
build-000794,acme-corp/data-pipeline,develop,1c0b42ef66873228d12af7f78f75b2acd9fd0809,190.586493,1652,27.72,44,86,14,263,7.3343,0,0,0,0,"{""upload_artifacts"": 118, ""restore_cache"": 118, ""build"": 118, ""install_dependencies"": 118, ""deploy_production"": 118, ""deploy_staging"": 118, ""unit_tests"": 118, ""e2e_tests"": 118, ""save_cache"": 118, ""type_check"": 118, ""checkout"": 118, ""lint"": 118, ""setup_node"": 118, ""setup_environment"": 118}",2025-12-03T12:52:13.672966,2025-12-03T12:55:24.259459,normal
build-000545,acme-corp/data-pipeline,main,a9c437fa637065320db90b14ce11e8e4204c5d4e,164.457471,1810,27.89,54,96,10,255,7.2923,0,0,0,0,"{""upload_artifacts"": 181, ""integration_tests"": 181, ""unit_tests"": 181, ""deploy_production"": 181, ""install_dependencies"": 181, ""restore_cache"": 181, ""setup_node"": 181, ""deploy_staging"": 181, ""save_cache"": 181, ""build"": 181}",2025-12-09T12:51:36.595283,2025-12-09T12:54:21.052754,normal
build-000875,acme-corp/data-pipeline,develop,a63a0ffc4a7691c5bd392a156dc7d560642ac0e0,191.374897,2756,27.77,76,129,13,282,7.302,0,0,0,0,"{""setup_environment"": 212, ""integration_tests"": 212, ""save_cache"": 212, ""restore_cache"": 212, ""checkout"": 212, ""e2e_tests"": 212, ""build"": 212, ""lint"": 212, ""install_dependencies"": 212, ""upload_artifacts"": 212, ""deploy_staging"": 212, ""type_check"": 212, ""setup_node"": 212}",2025-11-23T12:52:25.841956,2025-11-23T12:55:37.216853,normal
build-000403,acme-corp/data-pipeline,feature/feat-225,370a0aacb9fb4add593491bc2da1502df8d16980,153.930226,1716,28.6,57,79,11,250,7.2737,0,0,0,0,"{""checkout"": 156, ""type_check"": 156, ""unit_tests"": 156, ""save_cache"": 156, ""restore_cache"": 156, ""integration_tests"": 156, ""deploy_staging"": 156, ""setup_node"": 156, ""e2e_tests"": 156, ""upload_artifacts"": 156, ""install_dependencies"": 156}",2025-11-26T12:51:15.387538,2025-11-26T12:53:49.317764,normal
build-000074,startup-io/mobile-backend,main,8ce3c0be8e611c145c79622b67cb2c73b4770fc4,105.782957,885,27.86,25,44,15,236,7.3046,0,0,0,0,"{""type_check"": 59, ""deploy_staging"": 59, ""save_cache"": 59, ""checkout"": 59, ""install_dependencies"": 59, ""e2e_tests"": 59, ""lint"": 59, ""unit_tests"": 59, ""deploy_production"": 59, ""build"": 59, ""setup_environment"": 59, ""upload_artifacts"": 59, ""setup_node"": 59, ""integration_tests"": 59, ""restore_cache"": 59}",2025-12-03T12:50:31.088142,2025-12-03T12:52:16.871099,normal
build-000876,startup-io/auth-service,main,4946bd18a90e46dc6a70d4075ba1cb7dacc4c3e6,30.0,2510,27.77,81,105,10,268,7.2723,0,0,0,0,"{""lint"": 251, ""setup_node"": 251, ""integration_tests"": 251, ""deploy_production"": 251, ""install_dependencies"": 251, ""e2e_tests"": 251, ""upload_artifacts"": 251, ""checkout"": 251, ""restore_cache"": 251, ""build"": 251}",2025-11-30T12:52:26.032919,2025-11-30T12:52:56.032919,normal
